Name,City,State,Country,Latitude,Longitude,Nearby Bouy Number,Average Power Flux (kW/m),Bathymetry,Sea Bed,Time Zone,Data Source,Notes,,,,,,,,,
Humboldt Bay - DOE Reference,Eureka,California,United States,40.8418 N,124.2477 W,NDBC 46212,32.2,Gently Sloping,Sand and Clay,-7,Sandia; SAND2014-9040,,,,,,,,,,
Hs/Te,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.75,0.00,0.00,0.00,0.00,0.02,0.46,1.49,2.68,1.91,1.10,0.53,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.00,0.00,0.00,0.00,0.01,0.59,4.11,5.56,4.48,2.74,1.28,0.67,0.33,0.07,0.02,0.02,0.00,0.00,0.00,0.00,0.00
1.75,0.00,0.00,0.00,0.00,0.00,0.12,3.27,5.14,4.62,3.93,2.11,1.24,0.76,0.31,0.10,0.03,0.00,0.00,0.00,0.00,0.00
2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.92,5.25,3.68,4.14,2.87,1.31,0.84,0.42,0.20,0.08,0.02,0.00,0.00,0.00,0.00
2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.14,2.43,2.60,2.82,2.85,1.57,0.80,0.32,0.14,0.06,0.02,0.00,0.00,0.00,0.00
3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,1.54,1.47,1.96,1.42,0.79,0.32,0.11,0.04,0.02,0.01,0.01,0.00,0.00
3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.49,0.63,1.08,1.01,0.63,0.29,0.10,0.05,0.02,0.00,0.00,0.00,0.00
4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.21,0.45,0.56,0.42,0.21,0.07,0.02,0.02,0.00,0.00,0.00,0.00
4.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.12,0.26,0.27,0.19,0.07,0.02,0.01,0.00,0.00,0.00,0.00
5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.11,0.15,0.13,0.07,0.02,0.00,0.00,0.00,0.00,0.00
5.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.05,0.05,0.02,0.00,0.00,0.00,0.00,0.00
6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00
6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
