Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,,
Ablytek 6MN6A270,Ablytek,Mono-c-Si,0,270.643,242.1,1.627,1.64,0.992,60,9.34,38.63,8.81,30.72,0.00486614,-0.121182,47.4,1.58733,9.34243,2.51188e-10,0.374013,1440.5,12.6561,-0.4509,N,SAM 2021.12.02,5/28/2022
Ablytek 6MN6A275,Ablytek,Mono-c-Si,0,275.191,246.7,1.627,1.64,0.992,60,9.42,38.97,8.88,30.99,0.00490782,-0.122249,47.4,1.60182,9.42313,2.55179e-10,0.374165,1127.45,12.7242,-0.4509,N,SAM 2021.12.02,5/28/2022
Ablytek 6MN6A280,Ablytek,Mono-c-Si,0,280.09,251.3,1.627,1.64,0.992,60,9.51,39.31,8.96,31.26,0.00495471,-0.123315,47.4,1.61626,9.51376,2.59257e-10,0.37392,945.874,12.784,-0.4509,N,SAM 2021.12.02,5/28/2022
Ablytek 6MN6A285,Ablytek,Mono-c-Si,0,285.031,256,1.627,1.64,0.992,60,9.59,39.65,9.04,31.53,0.00499639,-0.124382,47.4,1.62978,9.59321,2.59787e-10,0.374045,1116.6,12.7245,-0.4509,N,SAM 2021.12.02,5/28/2022
Ablytek 6MN6A290,Ablytek,Mono-c-Si,0,290.016,260.6,1.627,1.64,0.992,60,9.67,39.99,9.12,31.8,0.00503807,-0.125449,47.4,1.64329,9.67267,2.60331e-10,0.374168,1357.41,12.666,-0.4509,N,SAM 2021.12.02,5/28/2022
Advance Power API-P210,Advance Power,Multi-c-Si,0,210.148,186.8,1.638,1.646,0.995,60,7.6,35.94,7.09,29.64,0.00437608,-0.120111,47.6,1.52964,7.60815,4.65887e-10,0.247801,231.181,12.9624,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-P215,Advance Power,Multi-c-Si,0,214.969,191.3,1.638,1.646,0.995,60,7.83,36,7.18,29.94,0.00450851,-0.120312,47.6,1.55623,7.84401,6.75228e-10,0.195624,109.341,16.1992,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-P220,Advance Power,Multi-c-Si,0,219.876,195.9,1.638,1.646,0.995,60,7.95,36.06,7.3,30.12,0.00457761,-0.120513,47.6,1.5615,7.96228,7.14132e-10,0.172338,111.532,16.5815,-0.4501,N,SAM 2021.12.02,5/28/2022
