climate.location,file_name
nOt A sAmsIm vArIAblE,eta_map
nOt A sAmsIm vArIAblE,n_zen
nOt A sAmsIm vArIAblE,n_azi
iscc.pt.sf.num_heliostats,n_hel
iscc.pt.par.heliostat_startup_energy,q_start
iscc.pt.par.heliostat_tracking_power,p_run
iscc.pt.sf.wind_stow_speed,v_wind_max
iscc.pt.sf.stow_deploy_angle,hel_stow_deploy
iscc.pt.par.rec_htf_pump_eff,eta_pump
iscc.pt.rec.ext_num_panels,N_panels
iscc.pt.rec.ext_diameter,D_rec
iscc.pt.rec.ext_height,H_rec
iscc.pt.twr.height,THT
iscc.pt.rec.tube_outer_diameter,d_tube_out
iscc.pt.rec.tube_wall_thickness,th_tube
nOt A sAmsIm vArIAblE,mat_tube
nOt A sAmsIm vArIAblE,rec_htf
nOt A sAmsIm vArIAblE,field_fl_props
nOt A sAmsIm vArIAblE,Flow_type
iscc.pt.rec.ext_coating_emissivity,epsilon
iscc.pt.rec.heat_loss_f,hl_ffact
iscc.pt.rec.t_out_des,T_htf_hot_des
iscc.pt.rec.t_in_des,T_htf_cold_des
iscc.pt.rec.min_turndown_frac,f_rec_min
iscc.pt.rec.design_thermal_power,Q_rec_des
iscc.pt.rec.startup_delay_time,rec_su_delay
iscc.pt.rec.startup_delay_energy_frac,rec_qf_delay
nOt A sAmsIm vArIAblE,m_dot_htf_max
iscc.pt.sf.total_reflective_area,A_sf
nOt A sAmsIm vArIAblE,cycle_config
nOt A sAmsIm vArIAblE,fluxmap_angles
nOt A sAmsIm vArIAblE,fluxmap
climate.elevation,plant_elevation
iscc.pt.hx.pinch_point_hotside,hot_side_delta_t
iscc.pt.hx.pinch_point_coldside,pinch_point
iscc.pt.par.p_pump_pb,W_htf_pc_pump
iscc.pt.par.piping_loss_coeff,Piping_loss
iscc.pt.par.total_piping_length,Piping_length
iscc.pt.rec.design_thermal_power,Q_sf_des
iscc.pt.par.pb_fixed_frac,pb_fixed_par
iscc.pt.par.bop_val,bop_par
iscc.pt.par.bop_pf,bop_par_f
iscc.pt.par.bop_c0,bop_par_0
iscc.pt.par.bop_c1,bop_par_1
iscc.pt.par.bop_c2,bop_par_2
iscc.pt.cycle.fossil_output,W_dot_fossil_des
iscc.pt.cycle.solar_electrical_power_gross,W_dot_solar_des
