Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,gammaPmax,alphaIsc,betaVoc,alphaIpmax,betaVpmax,IPmax_ low,VPmax_ low,IPmax_ NOCT,VPmax_ NOCT,Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
A10Green Technology,A10J-S72-175,175 W Monocrystalline Module,UL 1703,175,151.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.3,72,1,N,5.17,43.99,4.78,36.63,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,0.99,34.92,3.68,32.04,Rack,Flat Plate,0.825,1.576,1,0.198167224,,
A10Green Technology,A10J-S72-180,180 W Monocrystalline Module,UL 1703,180,155.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.3,72,1,N,5.31,44.06,4.9,36.72,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,1.02,35.01,3.77,32.12,Rack,Flat Plate,0.825,1.576,1,0.197984553,,
A10Green Technology,A10J-S72-185,185 W Monocrystalline Module,UL 1703,185,160.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.3,72,1,N,5.43,44.14,5.03,36.72,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,1.04,35.01,3.87,32.12,Rack,Flat Plate,0.825,1.576,1,0.197744307,,
A10Green Technology,A10J-M60-220,220 W Polycrystalline Module,UL 1703,220,189.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,7.95,36.06,7.3,30.12,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.41,29.51,5.56,26.47,Rack,Flat Plate,0.995,1.632,1,0.189289366,,
A10Green Technology,A10J-M60-225,225 W Polycrystalline Module,UL 1703,225,193.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,8.04,36.24,7.44,30.24,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.44,29.62,5.67,26.58,Rack,Flat Plate,0.995,1.632,1,0.189383996,,
A10Green Technology,A10J-M60-230,230 W Polycrystalline Module,UL 1703,230,204.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,8.1,36.42,7.58,30.36,46.4,-0.493,0.097,-0.359,0.047,-0.531,1.44,30.35,6.03,27.85,Rack,Flat Plate,0.995,1.632,1,0.190140997,,
A10Green Technology,A10J-M60-235,235 W Polycrystalline Module,UL 1703,235,208.7,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,8.23,36.72,7.68,30.6,46.4,-0.493,0.097,-0.359,0.047,-0.531,1.46,30.59,6.11,28.07,Rack,Flat Plate,0.995,1.632,1,0.190041047,,
A10Green Technology,A10J-M60-240,240 W Polycrystalline Module,UL 1703,240,213.3,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,8.32,36.84,7.83,30.72,46.4,-0.493,0.097,-0.359,0.047,-0.531,1.49,30.71,6.23,28.18,Rack,Flat Plate,0.995,1.632,1,0.190460255,,
A2Peak Power,POWER ON P220-6x10,220 W Polycrystalline Module,UL 1703,220,195,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.633,60,1,N,7.98,36.72,7.26,30.3,47.9,-0.46,0.05,-0.35,0.01,-0.47,1.45,29.86,5.87,27.81,Rack,Flat Plate,1,1.633,1,0.197346469,,
Aavid Solar,ASMS-165P,165 W Polycrystalline Module,UL 1703,165,146.3,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.301,72,1,N,5.25,43.5,4.71,35,45,-0.519,0.03,-0.393,0.0393,-0.556,1.64,22.57,3.77,30.74,Rack,Flat Plate,0.826,1.575,1,0.224592713,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
